wavelength (nm),fluorescence (arb. units)
480.79,169.583
480.92,161.583
481.06,150.333
481.19,146.833
481.32,162.083
481.45,168.833
481.59,181.833
481.72,185.833
481.85,180.083
481.98,212.833
482.11,225.333
482.25,208.833
482.38,207.833
482.51,218.333
482.64,236.083
482.78,244.833
482.91,264.58299999999997
483.04,289.083
483.17,279.333
483.3,263.33299999999997
483.44,258.333
483.57,273.58299999999997
483.7,320.083
483.83,338.0830000000001
483.96,340.083
484.1,354.0830000000001
484.23,357.3330000000001
484.36,368.3330000000001
484.49,380.8330000000001
484.62,378.5830000000001
484.76,363.5830000000001
484.89,378.8330000000001
485.02,422.3330000000001
485.15,430.5830000000001
485.28,412.8330000000001
485.42,418.8330000000001
485.55,428.5830000000001
485.68,434.8330000000001
485.81,460.5830000000001
485.94,469.3330000000001
486.08,479.333
486.21,504.08299999999997
486.34,521.5830000000001
486.47,542.083
486.6,556.583
486.73,542.583
486.87,530.8330000000001
487.0,535.833
487.13,527.5830000000001
487.26,525.083
487.39,513.0830000000001
487.52,488.0830000000001
487.66,491.583
487.79,523.833
487.92,540.583
488.05,534.833
488.18,522.833
488.31,515.3330000000001
488.44,524.333
488.58,525.8330000000001
488.71,522.083
488.84,518.5830000000001
488.97,511.33299999999997
489.1,497.8330000000001
489.23,493.583
489.36,489.08299999999997
489.5,467.8330000000001
489.63,462.8330000000001
489.76,460.5830000000001
489.89,457.5830000000001
490.02,467.8330000000001
490.15,476.5830000000001
490.28,473.0830000000001
490.42,439.3330000000001
490.55,406.8330000000001
490.68,429.0830000000001
490.81,469.8330000000001
490.94,469.5830000000001
491.07,432.8330000000001
491.2,413.0830000000001
491.33,418.3330000000001
491.47,400.8330000000001
491.6,396.5830000000001
491.73,418.5830000000001
491.86,390.3330000000001
491.99,354.5830000000001
492.12,376.8330000000001
492.25,399.5830000000001
492.38,397.8330000000001
492.51,387.5830000000001
492.64,385.3330000000001
492.78,377.0830000000001
492.91,356.8330000000001
493.04,368.8330000000001
493.17,389.3330000000001
493.3,368.3330000000001
493.43,340.0830000000001
493.56,346.8330000000001
493.69,346.3330000000001
493.82,324.083
493.95,300.583
494.09,267.583
494.22,260.58299999999997
494.35,308.833
494.48,347.8330000000001
494.61,335.5830000000001
494.74,312.333
494.87,330.333
495.0,366.5830000000001
495.13,360.0830000000001
495.26,346.583
495.39,349.5830000000001
495.52,342.0830000000001
495.65,323.083
495.78,312.583
495.92,321.333
496.05,315.583
496.18,315.333
496.31,319.083
496.44,309.333
496.57,319.833
496.7,324.833
496.83,326.583
496.96,341.583
497.09,352.3330000000001
497.22,343.5830000000001
497.35,319.083
497.48,311.833
497.61,313.333
497.74,304.333
497.87,298.333
498.0,306.083
498.13,305.583
498.26,285.333
498.39,272.833
498.53,263.833
498.66,251.833
498.79,257.58299999999997
498.92,277.333
499.05,274.083
499.18,253.583
499.31,240.08300000000003
499.44,227.333
499.57,233.083
499.7,250.083
499.83,257.083
499.96,254.33300000000003
500.09,232.833
500.22,210.333
500.35,202.333
500.48,204.583
500.61,211.583
500.74,209.333
500.87,199.083
501.0,182.083
501.13,193.833
501.26,218.083
501.39,213.083
501.52,208.333
501.65,221.583
501.78,231.333
501.91,210.083
502.04,189.333
502.17,178.583
502.3,173.083
502.43,182.333
502.56,179.833
502.69,169.083
502.82,175.583
502.95,188.083
503.08,192.583
503.21,177.833
503.34,160.583
503.47,166.083
503.6,177.833
503.73,181.833
503.86,173.833
503.99,172.333
504.11,172.333
504.24,163.333
504.37,144.333
504.5,113.833
504.63,126.083
504.76,161.083
504.89,158.583
505.02,149.583
505.15,132.333
505.28,124.833
505.41,141.583
505.54,126.333
505.67,108.083
505.8,122.083
505.93,152.833
506.06,180.583
506.19,191.833
506.32,200.833
506.45,194.833
506.58,182.083
506.71,179.583
506.83,173.333
506.96,176.333
507.09,183.333
507.22,186.833
507.35,192.333
507.48,187.083
507.61,186.083
507.74,188.083
507.87,191.833
508.0,197.083
508.13,199.083
508.26,188.333
508.39,162.833
508.51,171.583
508.64,182.333
508.77,157.333
508.9,152.333
509.03,181.583
509.16,189.833
509.29,183.083
509.42,183.583
509.55,185.083
509.68,210.333
509.81,241.58300000000003
509.93,237.083
510.06,215.333
510.19,207.833
510.32,214.583
510.45,225.083
510.58,204.583
510.71,175.583
510.84,184.833
510.97,181.833
511.09,166.333
511.22,188.083
511.35,210.333
511.48,226.833
511.61,238.33300000000003
511.74,225.083
511.87,226.083
512.0,245.333
512.12,254.58300000000003
512.25,240.833
512.38,229.083
512.51,235.08300000000003
512.64,227.333
512.77,217.333
512.9,227.833
513.02,223.58300000000003
513.15,198.833
513.28,203.583
513.41,219.583
513.54,228.333
513.67,229.083
513.8,236.583
513.92,259.083
514.05,256.08299999999997
514.18,258.333
514.31,260.333
514.44,226.583
514.57,210.583
514.69,224.583
514.82,232.833
514.95,245.333
515.08,263.083
515.21,255.58300000000003
515.34,233.833
515.46,226.333
515.59,229.083
515.72,251.583
515.85,265.583
515.98,260.33299999999997
516.11,280.083
516.23,261.833
516.36,231.333
516.49,284.33299999999997
516.62,318.833
516.75,290.083
516.88,289.833
517.0,317.083
517.13,313.083
517.26,288.333
517.39,288.083
517.52,310.583
517.64,345.583
517.77,372.0830000000001
517.9,364.8330000000001
518.03,365.5830000000001
518.16,390.3330000000001
518.28,419.0830000000001
518.41,430.8330000000001
518.54,412.0830000000001
518.67,390.5830000000001
518.79,397.5830000000001
518.92,419.3330000000001
519.05,429.5830000000001
519.18,449.8330000000001
519.31,472.5830000000001
519.43,474.8330000000001
519.56,483.583
519.69,493.33299999999997
519.82,490.083
519.95,506.83299999999997
520.07,525.333
520.2,544.833
520.33,582.333
520.46,585.083
520.58,565.833
520.71,575.083
520.84,608.833
520.97,635.083
521.09,631.583
521.22,642.083
521.35,667.083
521.48,669.333
521.6,685.083
521.73,702.5829999999999
521.86,705.3329999999999
521.99,727.5829999999999
522.11,736.0829999999999
522.24,741.5829999999999
522.37,772.5829999999999
522.5,794.0830000000001
522.62,811.0830000000001
522.75,836.5830000000001
522.88,857.8330000000001
523.01,857.0830000000001
523.13,893.3330000000001
523.26,961.5830000000001
523.39,964.8330000000001
523.52,949.5830000000001
523.64,960.0830000000001
523.77,976.0830000000001
523.9,1010.8330000000001
524.02,1057.083
524.15,1084.333
524.28,1094.083
524.41,1115.333
524.53,1156.833
524.66,1193.833
524.79,1231.833
524.91,1272.833
525.04,1303.583
525.17,1326.333
525.3,1329.833
525.42,1354.833
525.55,1397.833
525.68,1418.083
525.8,1438.833
525.93,1476.083
526.06,1529.583
526.18,1583.083
526.31,1601.083
526.44,1619.333
526.57,1647.083
526.69,1660.083
526.82,1715.333
526.95,1786.083
527.07,1835.583
527.2,1873.083
527.33,1917.333
527.45,2012.583
527.58,2099.333
527.71,2123.833
527.83,2125.083
527.96,2147.333
528.09,2186.833
528.21,2243.083
528.34,2355.333
528.47,2444.083
528.59,2469.833
528.72,2530.083
528.85,2611.833
528.97,2659.083
529.1,2703.333
529.23,2805.0829999999996
529.35,2943.3329999999996
529.48,3049.3329999999996
529.61,3134.8329999999996
529.73,3272.3330000000005
529.86,3422.8330000000005
529.99,3540.0830000000005
535.03,6874.083
535.16,6999.833
535.28,7101.083
535.41,7235.333
535.54,7373.333
535.66,7448.583
535.79,7554.333
535.91,7700.083
536.04,7841.833
536.16,7997.833
536.29,8170.083
536.42,8315.083
536.54,8429.833
536.67,8552.083
536.79,8693.083
536.92,8851.083
537.04,9036.083
537.17,9234.083
537.29,9387.583
537.42,9530.583
537.55,9713.333
537.67,9883.833
537.8,10061.083
537.92,10239.333
538.05,10380.583
538.17,10538.583
538.3,10716.333
538.42,10905.333
538.55,11100.833
538.67,11295.083
538.8,11507.083
538.92,11703.333
539.05,11869.833
539.18,12063.583
539.3,12279.833
539.43,12426.833
539.55,12544.833
539.68,12743.083
539.8,13021.833
539.93,13297.333
540.05,13479.333
540.18,13612.833
540.3,13775.083
540.43,13976.083
540.55,14252.833
540.68,14559.833
540.8,14844.083
540.93,15163.333
541.05,15450.833
541.18,15676.083
541.3,15963.083
541.43,16252.082999999999
541.55,16457.583
541.68,16735.333
541.8,17092.083
541.93,17371.333
542.05,17602.333
542.18,17759.833
542.3,17892.583
542.43,18186.083
542.55,18566.833
542.68,18898.333
542.8,19063.583
542.93,19129.833
543.05,19296.083
543.18,19412.583
543.3,19445.833
543.43,19592.083
543.55,19793.833
543.68,20039.333
543.8,20413.833
543.92,20754.333
544.05,20946.583
544.17,21119.083
544.3,21342.833
544.42,21626.583
544.55,21943.333
544.67,22112.083
544.8,22145.833
544.92,22295.083
545.05,22571.083
545.17,22896.083
545.29,23238.833
545.42,23511.583
545.54,23667.333
545.67,23769.833
545.79,23965.083
545.92,24130.333
546.04,24178.833
546.17,24286.333
546.29,24442.583
546.41,24665.333
546.54,24956.083000000002
546.66,25197.333000000002
546.79,25392.583000000002
546.91,25521.083000000002
547.04,25636.333000000002
547.16,25733.833000000002
547.28,25739.083000000002
547.41,25733.583000000002
547.53,25764.083000000002
547.66,25900.083000000002
547.78,26071.833000000002
547.91,26161.583000000002
548.03,26248.083000000002
548.15,26389.833000000002
548.28,26539.583000000002
548.4,26673.833000000002
548.53,26883.333000000002
548.65,27143.833000000002
548.77,27325.833000000002
548.9,27421.083000000002
549.02,27559.583000000002
549.15,27725.333000000002
549.27,27844.083000000002
549.39,28021.583000000002
549.52,28216.583000000002
549.64,28346.333000000002
549.77,28474.833000000002
549.89,28660.583000000002
550.01,28784.333000000002
550.14,28788.083000000002
550.26,28874.083000000002
550.38,29063.333000000002
550.51,29229.583000000002
550.63,29407.833000000002
550.76,29569.333000000002
550.88,29626.833000000002
551.0,29727.333000000002
551.13,29863.583000000002
551.25,29924.333000000002
551.37,30006.083000000002
551.5,30127.833000000002
551.62,30295.583000000002
551.75,30441.083000000002
551.87,30463.333000000002
551.99,30564.833000000002
552.12,30824.833000000002
552.24,30977.083000000002
552.36,30994.083000000002
552.49,31063.083000000002
552.61,31186.333000000002
552.73,31305.833000000002
552.86,31393.583000000002
552.98,31477.333000000002
553.1,31544.833000000002
553.23,31535.333000000002
553.35,31647.583000000002
553.47,31897.833000000002
553.6,32019.083000000002
553.72,32067.333000000002
553.84,32110.583000000002
553.97,32106.333000000002
554.09,32173.083000000002
554.21,32316.083000000002
554.34,32421.583000000002
554.46,32532.333000000002
554.58,32658.333000000002
554.71,32673.583000000002
554.83,32656.083000000002
554.95,32696.583000000002
555.08,32765.083
555.2,32866.083
555.32,32936.083
555.45,32998.083
555.57,33101.333
555.69,33151.833
555.82,33111.833
555.94,33121.083
556.06,33248.083
556.19,33361.833
556.31,33436.583
556.43,33516.083
556.55,33530.583
556.68,33552.583
556.8,33634.583
556.92,33696.333
557.05,33764.083
557.17,33774.083
557.29,33747.083
557.41,33773.333
557.54,33820.083
557.66,33940.583
557.78,34067.833
557.91,34034.833
558.03,33959.833
558.15,33905.833
558.27,33753.583
558.4,33719.583
558.52,33847.083
558.64,33851.583
558.76,33774.583
558.89,33778.833
559.01,33780.333
559.13,33708.833
559.26,33753.583
559.38,33837.833
559.5,33849.833
559.62,33870.083
559.75,33765.833
559.87,33733.833
559.99,33856.583
560.11,33784.083
560.24,33654.833
560.36,33638.333
560.48,33611.333
560.6,33605.083
560.73,33553.083
560.85,33515.833
560.97,33572.583
561.09,33545.083
561.22,33487.083
561.34,33472.833
561.46,33398.333
561.58,33297.083
561.7,33269.083
561.83,33262.583
561.95,33229.583
562.07,33192.333
562.19,33161.833
562.32,33115.333
562.44,32991.833
562.56,32892.833
562.68,32882.833
562.8,32838.583
562.93,32804.833
563.05,32796.083
563.17,32726.583000000002
563.29,32631.083000000002
563.41,32555.583000000002
563.54,32559.333000000002
563.66,32547.833000000002
563.78,32465.333000000002
563.9,32445.583000000002
564.02,32405.583000000002
564.15,32262.083000000002
564.27,32092.833000000002
564.39,31978.083000000002
564.51,32002.583000000002
564.63,32036.333000000002
564.76,31929.583000000002
564.88,31796.083000000002
565.0,31725.083000000002
565.12,31676.333000000002
565.24,31656.833000000002
565.36,31676.333000000002
565.49,31567.083000000002
565.61,31387.833000000002
565.73,31271.583000000002
565.85,31061.333000000002
565.97,30753.583000000002
567.92,29659.583000000002
568.04,29507.083000000002
568.16,29440.083000000002
568.28,29365.833000000002
568.4,29306.583000000002
568.52,29266.083000000002
568.65,29129.083000000002
568.77,28942.083000000002
568.89,28814.583000000002
569.01,28726.833000000002
569.13,28611.083000000002
569.25,28503.833000000002
569.37,28449.833000000002
569.49,28443.333000000002
569.62,28370.333000000002
569.74,28259.583000000002
569.86,28215.583000000002
569.98,28079.083000000002
570.1,27911.833000000002
570.22,27842.833000000002
570.34,27766.083000000002
570.46,27667.083000000002
570.58,27508.083000000002
570.71,27302.833000000002
570.83,27132.333000000002
570.95,27017.583000000002
571.07,26963.333000000002
571.19,26910.833000000002
571.31,26852.083000000002
571.43,26775.333000000002
571.55,26664.833000000002
571.67,26561.083000000002
571.79,26461.333000000002
571.92,26306.583000000002
572.04,26139.833000000002
572.16,26062.583000000002
572.28,26043.333000000002
572.4,25980.083000000002
572.52,25828.083000000002
574.69,24059.583
574.81,24147.583
574.93,24146.583
575.05,24020.583
575.17,23833.833
575.29,23626.083
575.41,23449.833
575.53,23373.333
575.65,23298.083
575.77,23203.333
575.89,23031.333
576.01,22781.583
576.13,22621.333
576.25,22547.583
576.37,22515.583
576.49,22497.083
576.61,22404.333
576.74,22285.333
576.86,22147.333
576.98,21941.833
577.1,21777.833
577.22,21645.583
577.34,21517.583
577.46,21500.083
577.58,21604.333
577.7,21736.333
577.82,21761.083
577.94,21657.833
578.06,21524.083
578.18,21393.333
578.3,21305.833
578.42,21240.333
578.54,21202.833
578.66,21168.833
578.78,21067.833
578.9,20986.083
579.01,20933.833
579.13,20838.583
579.25,20722.583
579.37,20601.583
579.49,20521.083
579.61,20496.333
579.73,20472.333
579.85,20459.583
579.97,20336.083
580.09,20131.583
580.21,20044.083
580.33,20019.583
580.45,19921.833
580.57,19796.333
580.69,19729.083
580.81,19646.083
580.93,19513.833
581.05,19482.083
581.17,19464.333
581.29,19287.833
581.41,19196.333
581.53,19217.083
581.65,19094.833
581.77,18930.583
581.89,18815.833
582.01,18664.583
582.12,18584.833
582.24,18564.083
582.36,18478.083
582.48,18479.833
582.6,18487.583
582.72,18340.083
582.84,18249.833
582.96,18197.333
583.08,18107.583
583.2,18090.083
583.32,18092.333
583.44,18001.083
583.56,17858.333
583.68,17757.833
583.79,17658.083
583.91,17545.833
584.03,17477.083
584.15,17466.083
584.27,17419.833
584.39,17327.583
584.51,17265.583
584.63,17181.083
584.75,17077.083
584.87,16982.583
584.98,16902.333
585.1,16864.833
585.22,16830.333
585.34,16745.833
585.46,16649.833
585.58,16580.083
585.7,16534.333
585.82,16506.583
585.94,16442.833
586.05,16360.333
586.17,16280.583
586.29,16195.333
586.41,16175.333
586.53,16167.333
586.65,16094.083
586.77,16008.833
586.89,15958.833
587.0,15969.333
587.12,15945.333
587.24,15839.083
587.36,15808.333
587.48,15822.333
587.6,15779.583
587.72,15705.083
587.83,15536.083
587.95,15363.333
588.07,15376.833
588.19,15392.583
588.31,15249.333
588.43,15183.583
588.55,15166.083
588.66,15053.833
588.78,14977.333
588.9,14933.333
589.02,14849.833
589.14,14780.083
589.26,14736.583
589.37,14672.333
589.49,14571.333
589.61,14502.583
589.73,14479.333
589.85,14392.083
589.97,14297.833
590.08,14271.833
590.2,14228.333
590.32,14150.583
590.44,14122.083
590.56,14092.083
590.67,14033.083
590.79,13996.833
590.91,13963.833
591.03,13897.583
591.15,13806.333
591.27,13764.333
591.38,13713.583
591.5,13651.583
591.62,13605.833
591.74,13567.083
591.86,13542.083
591.97,13456.333
592.09,13394.583
592.21,13376.833
592.33,13348.833
592.44,13354.583
592.56,13356.583
592.68,13324.333
592.8,13293.583
592.92,13266.583
593.03,13233.583
593.15,13191.583
593.27,13132.333
593.39,13071.583
593.5,12976.083
593.62,12880.333
593.74,12827.333
593.86,12791.333
593.98,12772.333
594.09,12722.083
594.21,12659.333
